User_ID,Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
357,Strawberry,Fruits,308,42.1,25.7,3.1,7.8,18.6,355,233,Snack,510
81,Grapes,Fruits,56,41.9,77.4,29.2,1.2,17,552,30,Breakfast,937
604,Pork Chop,Meat,565,4.8,45.9,45.1,7.9,17.1,213,122,Lunch,971
730,Cheese,Dairy,91,11.1,76.6,38.8,8.6,12.7,88,35,Dinner,736
964,Spinach,Vegetables,282,12,54,6.6,2.2,29.4,198,81,Lunch,332
819,Pasta,Grains,563,46,19.4,34.3,6.6,23.2,570,235,Lunch,265
151,Cookies,Snacks,566,45.4,8.8,44.5,4.8,28.2,527,166,Lunch,655
727,Carrot,Vegetables,315,9.1,67.7,39.1,3.8,20.8,612,227,Snack,828
746,Butter,Dairy,216,11.5,24.5,2.6,9.3,1.7,369,85,Lunch,143
686,Orange,Fruits,589,48.4,67,24.3,5.9,9.5,159,131,Snack,653
4,Orange,Fruits,381,49.6,7.8,37.7,4.9,1.5,85,185,Lunch,899
696,Potato,Vegetables,161,30.4,72.8,31.4,7.3,38.4,934,62,Snack,569
590,Chicken Breast,Meat,57,22.3,10.4,14.3,10,11.1,935,75,Lunch,320
246,Oats,Grains,499,36.6,74.4,34.6,8.8,18,976,140,Snack,487
447,Orange Juice,Beverages,412,41.9,5.5,14.4,4.5,27.4,816,8,Dinner,179
330,Coffee,Beverages,575,38.4,94,1.1,4.7,45.4,343,72,Dinner,323
791,Cookies,Snacks,362,47.2,47.7,23.9,1.7,17.2,174,211,Snack,130
188,Strawberry,Fruits,492,34.3,27.1,16.6,8.4,45.6,950,297,Lunch,593
292,Pasta,Grains,470,16.2,51.4,24.2,6.1,31,865,144,Snack,912
633,Butter,Dairy,509,45.5,72.6,40.7,9.2,39.5,311,115,Lunch,734
456,Banana,Fruits,296,6.8,20.6,11.5,1.2,39.8,107,250,Lunch,709
516,Water,Beverages,181,6.6,12.9,45.2,2.1,33,98,86,Snack,234
634,Orange,Fruits,572,40.1,49.7,14.9,2.6,40.3,208,176,Breakfast,955
248,Milkshake,Beverages,507,48.2,79.6,15.5,9.5,8.5,530,293,Lunch,306
941,Grapes,Fruits,346,36.7,47.9,34.7,4,34.9,107,288,Dinner,639
502,Potato,Vegetables,537,44.4,28.2,17.5,7,30.7,597,99,Dinner,122
462,Green Tea,Beverages,425,23.1,30.9,9.2,8.2,36.4,201,145,Lunch,101
58,Nuts,Snacks,560,36.1,15.1,12.3,8,28.1,530,18,Dinner,853
59,Milkshake,Beverages,148,39.3,67.7,18.2,4,42.6,469,230,Dinner,935
635,Nuts,Snacks,322,36,56.7,21.1,0.9,31.1,645,236,Lunch,362
191,Cookies,Snacks,240,21.4,78,14.2,9,1.1,17,243,Breakfast,327
970,Yogurt,Dairy,144,45.2,42.2,1.5,8.3,41.1,122,298,Dinner,859
820,Chicken Breast,Meat,450,18.1,14.7,25.8,9.7,6.7,761,276,Dinner,539
237,Bread,Grains,467,4.5,95.5,49.5,8.9,28.9,577,273,Dinner,891
657,Nuts,Snacks,309,22.2,7.9,35.6,9.7,41.2,38,271,Dinner,468
267,Coffee,Beverages,594,15.2,21,2,4.1,39.2,800,270,Lunch,841
430,Rice,Grains,527,35.9,52.3,35.1,2.7,34,783,240,Snack,646
942,Bread,Grains,304,18.6,75.8,49.8,3.6,10.8,817,114,Snack,927
209,Milk,Dairy,235,12.4,83.2,47.4,6.6,33,468,37,Lunch,383
35,Milk,Dairy,176,36.5,70.7,14.9,3,41.7,370,23,Dinner,589
131,Carrot,Vegetables,484,13.6,69.1,30.8,3.6,10.5,373,300,Dinner,888
313,Butter,Dairy,131,34.6,12.5,17,3.8,31.7,704,174,Dinner,667
813,Strawberry,Fruits,543,29.7,67.8,7,3.6,14.7,835,152,Dinner,423
564,Beef Steak,Meat,89,2.4,11.3,18.7,9.4,10.4,885,102,Snack,774
650,Pork Chop,Meat,359,10.8,54.5,8.7,4.3,46.7,712,246,Dinner,775
386,Beef Steak,Meat,342,18.9,9.8,5,4,22.9,907,109,Snack,275
402,Bread,Grains,50,18.4,11.1,29.6,2.8,22.1,446,260,Breakfast,189
975,Salmon,Meat,403,47.1,45.8,38.6,0.7,23.3,259,279,Dinner,694
616,Cheese,Dairy,267,43.6,16.8,17.4,5.3,8.5,266,140,Breakfast,979
663,Beef Steak,Meat,537,50,96.3,23.6,5.4,42.6,142,63,Dinner,831
663,Potato,Vegetables,519,14.5,38.5,20.7,1,18.4,889,215,Lunch,273
960,Salmon,Meat,168,34.5,57.5,9.2,4.2,43.7,108,179,Lunch,826
865,Coffee,Beverages,122,17.1,70.4,21,6.4,5.8,196,189,Lunch,865
589,Chocolate,Snacks,153,46.7,91,45,7,49.7,494,38,Lunch,751
589,Carrot,Vegetables,263,33.4,9.3,17.1,7.8,25.4,17,93,Dinner,755
51,Spinach,Vegetables,253,11.5,43.5,21.7,6.3,45.4,335,183,Breakfast,214
851,Carrot,Vegetables,488,4.6,68.8,47.2,7.1,26.1,85,240,Lunch,567
96,Potato,Vegetables,565,48.7,54.6,2.9,0.4,7,388,96,Snack,169
298,Grapes,Fruits,179,1.4,47.7,20.3,4.8,27,595,292,Lunch,209
807,Cheese,Dairy,213,17.3,35.9,7.1,4.1,43.6,12,53,Breakfast,247
356,Broccoli,Vegetables,355,44.5,70.5,37.4,8.3,27.1,36,295,Snack,689
624,Nuts,Snacks,178,28,64.6,35.4,8.3,35.3,672,230,Dinner,518
399,Bread,Grains,530,36.3,58,32.3,8.4,21.7,93,49,Breakfast,288
839,Water,Beverages,417,7.7,97.6,39.2,8.8,5.7,292,220,Dinner,193
120,Chips,Snacks,365,29.1,67.1,28.2,4.8,41.3,810,4,Dinner,652
614,Banana,Fruits,140,19.1,38.6,30.2,7.1,12.6,766,245,Dinner,996
731,Chocolate,Snacks,106,38.9,16.9,33.7,3.4,32.7,589,280,Dinner,718
213,Cheese,Dairy,410,23.9,51.4,16.1,2.2,14.5,783,215,Lunch,817
488,Paneer,Dairy,223,30.1,20.9,15.6,6.7,18,896,198,Dinner,996
942,Cheese,Dairy,160,41.1,34.7,14.7,4.6,8.6,341,249,Breakfast,931
127,Green Tea,Beverages,224,22.3,28.7,10.1,3.8,25.7,656,229,Snack,350
645,Chocolate,Snacks,336,40.8,71.1,46.9,3.5,37.1,646,43,Breakfast,405
366,Broccoli,Vegetables,343,41.8,62.8,19.3,4.2,33,666,266,Snack,326
119,Orange,Fruits,454,43.4,82.9,5.8,7.2,14.7,440,125,Snack,970
219,Bread,Grains,199,6.2,52.4,9,6.3,1.1,676,246,Snack,454
372,Potato,Vegetables,444,28.6,77.5,9.6,1.7,6.9,698,61,Dinner,605
987,Chips,Snacks,139,7,73.1,3.1,3.9,10,768,275,Breakfast,428
296,Apple,Fruits,121,8.7,55.9,10.3,1.1,26,745,264,Lunch,159
47,Rice,Grains,287,2.2,91.8,31.5,9.1,26.9,592,250,Snack,334
849,Broccoli,Vegetables,541,6.7,87.7,4.4,0.8,41.8,187,104,Snack,211
290,Pasta,Grains,593,17.9,53.9,9.9,2.1,33.4,980,243,Lunch,277
809,Broccoli,Vegetables,311,21.3,67.6,5.8,7.6,44.3,328,161,Dinner,265
479,Bread,Grains,587,20.4,84.3,36.7,5.6,36.2,321,31,Lunch,308
184,Grapes,Fruits,391,12.6,20.4,2.2,5.9,11.4,10,130,Lunch,861
903,Bread,Grains,79,10,89.4,12.9,7.7,29.8,164,212,Dinner,387
517,Grapes,Fruits,67,27.7,41.9,38.4,5.3,36.9,459,247,Snack,671
265,Cheese,Dairy,587,5.5,54.5,47.4,1.8,8.7,41,55,Dinner,633
472,Butter,Dairy,136,33.7,37.7,42,4.3,15.2,540,117,Snack,789
639,Banana,Fruits,561,45.4,56.8,31.8,8.2,35.5,318,93,Lunch,364
947,Orange,Fruits,447,9,40.7,34.6,7.8,40.1,905,36,Snack,261
948,Milkshake,Beverages,204,25.4,18.2,45.1,9.1,27,46,292,Lunch,444
14,Water,Beverages,570,39.6,83.5,16.8,8,44.6,602,159,Lunch,228
733,Apple,Fruits,521,18.6,46.2,36,3.6,27.6,613,127,Lunch,193
993,Quinoa,Grains,481,29.2,12.5,9.7,7.6,34.5,42,120,Dinner,251
710,Nuts,Snacks,369,38.2,16.8,4.1,6.9,4.1,70,165,Dinner,686
608,Yogurt,Dairy,568,2.3,11.8,16.2,5,22.7,90,213,Dinner,353
60,Yogurt,Dairy,172,6.9,25.7,29.1,7.2,45.5,509,198,Lunch,100
594,Spinach,Vegetables,201,41,12.7,47.1,0.8,19.1,115,220,Snack,558
593,Green Tea,Beverages,404,12.1,33.3,4.5,6.4,20.4,127,162,Breakfast,187
678,Chocolate,Snacks,531,20,12.3,30.3,9.9,38.1,194,138,Breakfast,906
975,Spinach,Vegetables,115,8.7,6.7,35.1,4.7,26,261,85,Lunch,538
864,Salmon,Meat,59,36.3,13.9,26.9,5.7,8.8,916,64,Breakfast,269
365,Popcorn,Snacks,481,38.6,36.8,12.2,8.1,22.2,263,125,Lunch,829
416,Milkshake,Beverages,328,6.8,85.3,17,8.1,40.8,607,171,Snack,182
484,Banana,Fruits,358,27.3,37.5,16.7,0.3,47.1,703,98,Lunch,811
303,Eggs,Meat,530,43.6,18.1,10.5,7.1,1,26,255,Lunch,629
146,Eggs,Meat,95,37.2,81.9,20.7,6.1,19.8,722,275,Snack,219
424,Chocolate,Snacks,384,7.1,96.4,40,6.5,20.2,734,1,Lunch,144
157,Milkshake,Beverages,103,30.2,70.8,42,4.6,8.4,6,222,Breakfast,721
565,Carrot,Vegetables,289,14,52.9,17.1,2.9,6.5,53,98,Snack,839
191,Chocolate,Snacks,551,35.6,13.8,4,8.2,21.5,134,288,Snack,186
641,Oats,Grains,497,18,70.8,42.8,9.5,30.5,665,7,Snack,848
451,Milkshake,Beverages,414,22,67.8,8.4,2.2,2.2,648,159,Dinner,899
780,Spinach,Vegetables,205,1.1,10.5,28.1,6.4,21.8,937,44,Dinner,528
235,Salmon,Meat,574,20.4,92.9,35,3.9,44,49,32,Breakfast,246
758,Nuts,Snacks,433,40.5,34.5,28.7,8.3,44,957,280,Dinner,802
288,Banana,Fruits,546,12.3,52.9,37.8,9.2,24.2,183,137,Breakfast,421
804,Water,Beverages,410,16.9,15.1,4,7.5,9.2,10,57,Breakfast,888
215,Apple,Fruits,79,18.1,74.7,19.7,0.2,46.6,270,36,Dinner,671
665,Tomato,Vegetables,500,18.8,10.5,18.6,7.9,2.5,966,282,Breakfast,894
38,Grapes,Fruits,425,25.3,83.8,7.4,8.6,25.1,206,48,Dinner,233
111,Cookies,Snacks,113,21.4,27.1,29.3,5.1,47.2,304,163,Breakfast,132
92,Chocolate,Snacks,185,2.4,71.1,34.1,3.1,41.3,250,121,Breakfast,875
811,Water,Beverages,559,26.3,63.2,33.1,4.1,5.6,502,154,Breakfast,880
472,Eggs,Meat,482,37.1,27.2,11.9,7.7,22,173,234,Breakfast,901
157,Cookies,Snacks,542,16.6,42.3,28.8,2.2,28.3,700,99,Snack,768
446,Carrot,Vegetables,300,9.5,61.5,19,10,3.2,829,190,Lunch,291
178,Butter,Dairy,485,26.2,34.1,17.9,0.7,12.5,399,286,Breakfast,804
993,Orange Juice,Beverages,71,6.7,90,31.2,2.6,22,372,22,Dinner,672
429,Potato,Vegetables,181,43.1,87.1,38.2,2.7,18.4,76,266,Breakfast,669
78,Pork Chop,Meat,330,20.2,83.1,49.8,6.9,27.9,836,134,Snack,203
813,Chocolate,Snacks,249,11.4,13.3,28.6,1.7,1.7,535,269,Lunch,300
795,Spinach,Vegetables,224,41.5,78.3,24.6,6.9,17.7,70,126,Snack,189
194,Coffee,Beverages,246,15.1,97.7,27.5,2.1,28.2,367,261,Dinner,388
885,Beef Steak,Meat,499,26.9,25.2,26.7,7.1,21,645,40,Lunch,610
3,Paneer,Dairy,194,6.2,80.8,32.6,8.9,21.6,334,41,Dinner,297
780,Milk,Dairy,194,17.4,59.6,46.6,6.1,24,50,202,Lunch,323
65,Salmon,Meat,200,21.8,28.4,34.2,5.2,20.9,511,157,Dinner,393
849,Rice,Grains,244,10.6,74.4,34.2,0.1,41.5,668,170,Snack,570
499,Paneer,Dairy,185,22.3,10.4,17.3,6.9,1.7,993,121,Breakfast,567
715,Strawberry,Fruits,219,25.9,65.9,17.3,7.3,14.9,576,290,Lunch,489
645,Salmon,Meat,403,8.8,78.3,5.7,4.9,38.6,60,239,Snack,913
191,Grapes,Fruits,214,10.9,86.3,2.6,1.4,40.3,977,177,Breakfast,603
490,Apple,Fruits,190,16.4,92.3,47.8,3.8,2.9,870,80,Breakfast,958
949,Cookies,Snacks,157,21.7,10.6,33.8,8.2,0.9,822,85,Breakfast,806
542,Milkshake,Beverages,550,49.2,88.3,12.2,0.1,32.3,69,1,Lunch,192
222,Milkshake,Beverages,319,32.4,86.4,46.9,5.5,17.4,601,189,Snack,570
460,Popcorn,Snacks,68,45.2,73.9,13.9,0.5,28.8,275,242,Dinner,617
602,Banana,Fruits,519,5.9,45.5,41.7,7.8,9,319,283,Lunch,971
442,Carrot,Vegetables,570,39.2,35.6,13,4.3,0.6,539,59,Dinner,317
336,Cookies,Snacks,406,30.3,95.8,42.4,2.6,44,752,286,Breakfast,250
335,Orange Juice,Beverages,589,11.2,16.5,43,9.4,15.6,758,177,Dinner,449
998,Orange,Fruits,60,34.9,9.3,22.7,7.3,27.8,192,69,Breakfast,560
244,Green Tea,Beverages,532,16,25.4,40.8,4.5,49.4,505,191,Dinner,742
253,Apple,Fruits,458,36.9,94.6,5.7,7.6,29.9,498,246,Snack,612
431,Potato,Vegetables,377,49.9,42.9,33.6,7.7,15.7,108,35,Dinner,360
496,Pork Chop,Meat,563,9.5,18.2,16.6,6.7,25.6,108,174,Breakfast,615
695,Popcorn,Snacks,204,49.6,75.5,22.6,9.9,7.6,620,85,Breakfast,746
775,Orange,Fruits,218,37.1,98.1,18.2,1.3,18.7,97,120,Dinner,557
140,Chocolate,Snacks,369,33.1,16.9,5.7,5.6,18.3,517,260,Lunch,548
42,Broccoli,Vegetables,463,44.9,6.3,33.4,6.7,26.5,987,170,Snack,263
469,Milk,Dairy,487,16.8,17.6,32.3,7.2,36.3,661,110,Breakfast,925
723,Chicken Breast,Meat,84,30.6,38.8,15.5,5.3,14.6,110,4,Lunch,874
593,Yogurt,Dairy,156,1,83.5,16.8,1.7,16.6,331,100,Snack,515
469,Nuts,Snacks,202,11.9,23.5,28.3,4.4,49.5,559,185,Snack,835
328,Cookies,Snacks,558,40.3,45,15.8,6.2,20.7,608,239,Dinner,971
913,Carrot,Vegetables,499,42.8,65,1.6,9.3,45.3,871,56,Lunch,688
191,Coffee,Beverages,519,28.6,52.9,43.1,1.7,20.3,922,222,Dinner,825
318,Chips,Snacks,235,29,85.4,26.3,7.3,47.9,257,278,Snack,308
448,Butter,Dairy,295,34.1,27.1,42.6,7.8,49.9,178,239,Snack,172
321,Quinoa,Grains,323,25,94.3,31.2,5.3,13.3,447,32,Snack,350
252,Chocolate,Snacks,245,46.1,9.8,48.3,3.2,19.3,0,221,Lunch,399
150,Orange Juice,Beverages,407,15.5,86.6,31.3,0.7,26.4,782,16,Dinner,655
126,Chicken Breast,Meat,485,47.9,16,24.1,4.8,38.4,743,260,Breakfast,618
359,Oats,Grains,427,25.1,40.9,1.4,9.8,6.8,670,213,Breakfast,223
518,Salmon,Meat,277,15.7,8.9,45.6,6.4,34.1,617,101,Breakfast,260
943,Carrot,Vegetables,493,31.6,59.5,34,4.9,8.6,499,90,Breakfast,324
338,Cookies,Snacks,338,5.4,99.3,23.2,5.2,32.1,733,27,Breakfast,150
481,Tomato,Vegetables,574,14.9,51.5,29.4,6.8,43.8,266,233,Dinner,563
405,Tomato,Vegetables,514,14.9,93.4,20.3,7.1,17.1,11,293,Lunch,160
496,Salmon,Meat,62,5.7,50,37.8,8.3,35.3,202,158,Snack,551
162,Apple,Fruits,196,7.7,23.9,26.9,5.6,26.3,647,184,Breakfast,820
522,Broccoli,Vegetables,92,45,37.3,17.3,9.5,36.5,169,296,Lunch,873
453,Chocolate,Snacks,326,47.2,71.9,9.2,6,19.6,758,2,Lunch,728
956,Apple,Fruits,417,46.8,31.9,27.1,7.6,40.3,583,135,Dinner,101
196,Milkshake,Beverages,465,32.7,23,3.4,9,31.8,661,280,Snack,401
548,Quinoa,Grains,410,27.7,75.2,7.6,1.6,49.2,747,235,Dinner,104
503,Chicken Breast,Meat,165,31.6,68,30.3,0.8,23.4,626,87,Snack,732
294,Pork Chop,Meat,440,41.6,50.8,35.1,7.5,43.7,249,220,Breakfast,735
605,Milkshake,Beverages,501,10.5,84.7,30.9,9.7,19.5,419,138,Dinner,132
841,Pork Chop,Meat,337,38,87.7,42,5.2,37.3,806,3,Dinner,151
853,Cheese,Dairy,492,2.5,80.1,31.2,0.9,47.9,655,253,Breakfast,210
970,Green Tea,Beverages,159,45.1,40.7,36,9.6,22.8,938,20,Breakfast,105
859,Milk,Dairy,481,9.1,20.9,42.8,8.6,42.9,392,165,Dinner,707
624,Popcorn,Snacks,60,23.9,18.5,34,4.4,2.1,293,85,Snack,653
645,Bread,Grains,561,36.7,35.5,12.6,0.8,25.1,458,225,Snack,431
761,Water,Beverages,580,23.6,15.6,49.9,5.3,44.9,996,5,Dinner,487
589,Popcorn,Snacks,515,37.6,41,44.2,9.7,21.7,100,124,Dinner,128
887,Popcorn,Snacks,406,40,17.9,10.4,2.7,7.5,241,80,Breakfast,966
609,Nuts,Snacks,344,24.3,26.3,4.7,3,17.1,966,274,Breakfast,206
707,Yogurt,Dairy,98,4.6,32.7,34.9,5.7,38,898,127,Breakfast,943
356,Pork Chop,Meat,141,40.7,81.6,44.6,5.3,40.5,6,158,Breakfast,877
929,Green Tea,Beverages,138,29.8,6.3,7.6,1.1,23.4,545,63,Dinner,471
912,Eggs,Meat,256,16.3,75,37.9,9.1,6.1,262,159,Lunch,512
807,Milkshake,Beverages,267,30.4,70.3,25.9,8.1,46.2,172,3,Snack,323
849,Chocolate,Snacks,488,21.7,82.1,15,0.8,30.6,107,287,Breakfast,144
443,Tomato,Vegetables,364,28.6,39.7,25.3,9.2,25.9,523,59,Dinner,201
547,Milkshake,Beverages,521,34.8,36.9,43,2.8,26.3,565,64,Lunch,362
141,Potato,Vegetables,437,10.4,71.6,19.1,1.7,16.2,992,130,Lunch,436
218,Carrot,Vegetables,588,46.6,14.1,14.9,3.2,36.2,992,236,Breakfast,148
279,Milkshake,Beverages,470,13.1,93.5,29.9,4.8,33.9,699,116,Lunch,524
852,Strawberry,Fruits,343,1.6,47.7,24.5,1.1,0.5,41,39,Breakfast,558
708,Spinach,Vegetables,311,7.7,58.2,39,3.6,26.7,534,270,Lunch,320
382,Chocolate,Snacks,413,39.6,56.8,29.1,7.5,48.3,933,71,Breakfast,122
726,Milkshake,Beverages,336,15.2,11.1,1.1,1.8,3.4,856,204,Breakfast,765
148,Orange,Fruits,141,19.8,8.2,46.5,9,18.3,803,175,Lunch,101
409,Quinoa,Grains,268,35.6,30.5,17.7,8.1,34.4,851,53,Lunch,201
25,Rice,Grains,287,44.7,76.7,28.5,7.3,30,586,177,Snack,782
572,Apple,Fruits,473,13.4,16.8,28.8,1.6,37.3,187,14,Lunch,743
313,Green Tea,Beverages,359,36.7,37.8,32.2,6.7,45.7,638,87,Snack,708
271,Tomato,Vegetables,405,4.1,9.4,41.6,7.7,12.5,562,9,Snack,211
310,Milkshake,Beverages,353,33.2,64.3,44.3,2.7,18.2,739,86,Dinner,425
886,Pork Chop,Meat,531,46.9,73.7,21.9,8,22.5,432,3,Dinner,860
661,Tomato,Vegetables,169,29.7,41.7,35.5,4,23.2,501,163,Lunch,728
553,Coffee,Beverages,328,32.3,75.8,3.3,8,17.2,956,232,Breakfast,874
504,Chocolate,Snacks,192,29.7,11.9,3.5,6.7,41.2,739,51,Breakfast,303
776,Green Tea,Beverages,80,28.8,79.4,31.2,9.4,37.5,494,269,Snack,935
452,Chicken Breast,Meat,180,35.6,35.4,46.9,1.7,18.3,805,65,Breakfast,560
331,Nuts,Snacks,206,17.2,28.1,48.7,0.7,2.3,612,261,Lunch,794
209,Strawberry,Fruits,563,16.3,91.7,26.9,3.7,49.9,882,1,Breakfast,987
248,Nuts,Snacks,363,16.2,12.3,5.6,9.6,22.7,197,209,Snack,480
785,Milk,Dairy,299,17.1,44.3,31.7,3,9,284,278,Dinner,978
452,Cheese,Dairy,300,45.3,39.1,10.8,5.4,7.2,356,181,Lunch,753
604,Banana,Fruits,423,18.7,82.2,32.3,3.3,29.5,88,238,Snack,977
80,Grapes,Fruits,546,6.8,64.7,27.3,0.9,1.9,895,81,Snack,623
910,Beef Steak,Meat,520,18.3,77.9,40.6,2.5,21.5,391,198,Dinner,541
494,Oats,Grains,528,21.3,7.8,6.2,2.7,13.8,8,74,Breakfast,405
247,Milkshake,Beverages,570,14.1,7.1,15.8,9.4,5.9,215,158,Lunch,741
699,Orange,Fruits,549,25,23.7,38.6,2.6,17.1,715,202,Lunch,791
59,Orange Juice,Beverages,84,40.5,18.7,23.7,3.6,49,980,281,Breakfast,286
78,Rice,Grains,475,20,34.8,2.4,4.6,48.4,145,18,Snack,137
158,Quinoa,Grains,186,22.6,52.6,27.7,4.3,39.5,129,21,Dinner,779
268,Water,Beverages,435,44.1,56.3,40.6,6,30.4,297,265,Snack,373
626,Orange,Fruits,196,23.3,26.2,6.2,8.8,26.5,701,99,Breakfast,442
